Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2018-07-23 00:00:00-04:00,79.7729474152358,80.6903162868789,79.48626645320996,80.60430908203125,389200,0.0,0.0
2018-07-24 00:00:00-04:00,80.46094934091799,81.24453552020701,80.26027563177547,80.76673889160156,461800,0.0,0.0
2018-07-25 00:00:00-04:00,80.69986857481405,80.69986857481405,79.37159418621403,80.1456298828125,353700,0.0,0.0
2018-07-26 00:00:00-04:00,82.2956886248254,83.98708537307458,81.10119713039596,82.92637634277344,963400,0.0,0.0
2018-07-27 00:00:00-04:00,83.15572038317534,84.02531372945435,83.0506118343197,83.83419799804688,459000,0.0,0.0
2018-07-30 00:00:00-04:00,83.93932161448608,84.76113253013402,83.82465507129743,84.25466918945312,525000,0.0,0.0
2018-07-31 00:00:00-04:00,84.61779906595528,84.78024819532445,83.94887930701307,84.15911102294922,493800,0.0,0.0
2018-08-01 00:00:00-04:00,84.56045385892061,85.00002592691386,83.16528843687279,83.33729553222656,406300,0.0,0.0
2018-08-02 00:00:00-04:00,83.0123896262393,83.03149828369253,82.23835412331992,82.54414367675781,538800,0.0,0.0
2018-08-03 00:00:00-04:00,82.45814428939238,83.03149879428948,81.91345641615042,83.01239013671875,344900,0.0,0.0
2018-08-06 00:00:00-04:00,83.03150757509906,83.6717533850986,82.80216720700646,83.3946304321289,362800,0.0,0.0
2018-08-07 00:00:00-04:00,83.03149495329919,84.2737690652744,83.03149495329919,83.64307403564453,246900,0.0,0.0
2018-08-08 00:00:00-04:00,83.63353142349543,84.16866868678792,83.34685777695213,84.111328125,218000,0.0,0.0
2018-08-09 00:00:00-04:00,84.07309536237337,84.26421109163213,83.53795819737289,83.64307403564453,243500,0.0,0.0
2018-08-10 00:00:00-04:00,82.89772138677569,83.33729344375304,82.22880897194024,82.7639389038086,436500,0.0,0.0
2018-08-13 00:00:00-04:00,82.68748847092812,83.07928522999404,82.28614102793259,82.47725677490234,253200,0.0,0.0
2018-08-14 00:00:00-04:00,82.67792427364573,83.50929302064783,82.582366407353,83.23217010498047,294100,0.0,0.0
2018-08-15 00:00:00-04:00,82.70660026426448,83.17483892423189,82.611035104983,82.96460723876953,305500,0.0,0.0
2018-08-16 00:00:00-04:00,83.39462388726037,84.28332594579693,83.28951533185769,84.05398559570312,330900,0.0,0.0
2018-08-17 00:00:00-04:00,83.88195961211808,84.41708940530651,83.73861919162928,84.26419830322266,505500,0.0,0.0
2018-08-20 00:00:00-04:00,84.47444884081415,84.70378919053087,84.2259925424387,84.42666625976562,324600,0.0,0.0
2018-08-21 00:00:00-04:00,84.60823300417682,85.61160161079553,84.44578389033357,85.2293701171875,368300,0.0,0.0
2018-08-22 00:00:00-04:00,85.0287068544772,85.31538050994438,84.54135216240392,84.8280258178711,438300,0.0,0.0
2018-08-23 00:00:00-04:00,84.77069372346457,84.77069372346457,83.6622091171682,83.85332489013672,276900,0.0,0.0
2018-08-24 00:00:00-04:00,84.13043035232637,84.52221979253937,83.97753193329835,84.4935531616211,216200,0.0,0.0
2018-08-27 00:00:00-04:00,84.57001552371108,85.3822684519772,84.57001552371108,84.7611312866211,554800,0.0,0.0
2018-08-28 00:00:00-04:00,84.9713615370392,85.0764773920094,83.96799286314031,84.33111572265625,513700,0.0,0.0
2018-08-29 00:00:00-04:00,84.37890867131576,84.48402453919634,83.43286586039052,84.20690155029297,366700,0.0,0.0
2018-08-30 00:00:00-04:00,84.14000719151909,84.1877824902288,83.70998575953443,83.81510162353516,270900,0.0,0.0
2018-08-31 00:00:00-04:00,83.74818976286046,84.06353727725723,83.34684235759063,84.01575469970703,395200,0.0,0.0
2018-09-04 00:00:00-04:00,83.91062656412448,84.45531433162094,83.6526196387195,84.31198120117188,338600,0.0,0.0
2018-09-05 00:00:00-04:00,84.2737778164327,85.43004486689213,84.2737778164327,85.14336395263672,406900,0.0,0.0
2018-09-06 00:00:00-04:00,85.08601521065974,85.48736258514182,84.56043606031615,84.67510986328125,334500,0.0,0.0
2018-09-07 00:00:00-04:00,84.71333051712733,84.78022174309093,84.1686427369674,84.46487426757812,411600,0.0,0.0
2018-09-10 00:00:00-04:00,81.59810599449897,81.59810599449897,78.16752977019964,80.70940399169922,1298700,0.0,0.0
2018-09-11 00:00:00-04:00,80.38452244476848,81.46434040261553,79.85894313883445,81.09165954589844,763000,0.0,0.0
2018-09-12 00:00:00-04:00,80.95784899116768,81.07251549774192,80.27937876174849,80.54694366455078,379000,0.0,0.0
2018-09-13 00:00:00-04:00,80.90054759820521,81.50256886659892,80.6807578897188,81.34967041015625,390700,0.0,0.0
2018-09-14 00:00:00-04:00,81.62677813255075,83.22261719764481,81.50255362786741,82.98371887207031,419400,0.0,0.0
2018-09-17 00:00:00-04:00,83.23216040389057,83.23216040389057,81.86566193244265,81.96121978759766,615300,0.0,0.0
2018-09-18 00:00:00-04:00,82.05681637580733,82.39127264230501,81.6554615654103,82.15237426757812,930200,0.0,0.0
2018-09-19 00:00:00-04:00,82.33391312971365,83.59529585470884,82.29568852706562,83.29905700683594,447600,0.0,0.0
2018-09-20 00:00:00-04:00,83.84376596734558,84.67513488062762,83.67175885737686,84.4075698852539,524600,0.0,0.0
2018-09-21 00:00:00-04:00,84.80890550931723,85.01913720214591,84.02531929370015,84.94268798828125,1098800,0.0,0.0
2018-09-24 00:00:00-04:00,84.93313465114053,85.00958386917924,84.13999770843482,84.17821502685547,525500,0.0,0.0
2018-09-25 00:00:00-04:00,84.43621681476948,84.6942237742052,83.45195697268127,83.6812973022461,487400,0.0,0.0
2018-09-26 00:00:00-04:00,83.84375642271256,83.94887227187165,82.57282283936836,82.71615600585938,446500,0.0,0.0
2018-09-27 00:00:00-04:00,82.41990196665405,82.98369837627295,82.10455450503848,82.43901062011719,406100,0.0,0.0
2018-09-28 00:00:00-04:00,82.26702362503819,83.11750836863938,81.78922697545912,82.84038543701172,456900,0.0,0.0
2018-10-01 00:00:00-04:00,83.34686014411642,83.65264975014021,82.30525951414207,82.67794036865234,388400,0.0,0.0
2018-10-02 00:00:00-04:00,82.66836343573458,83.06015282658798,81.81788613618282,82.93592834472656,297800,0.0,0.0
2018-10-03 00:00:00-04:00,83.56662225761356,84.00620154446543,83.06971700246443,83.34683990478516,628600,0.0,0.0
2018-10-04 00:00:00-04:00,83.59576180255942,84.47652162915963,83.59576180255942,84.2180404663086,506400,0.16,0.0
2018-10-05 00:00:00-04:00,84.34250349237234,84.76373967958817,83.53833328477658,83.6915054321289,575100,0.0,0.0
2018-10-08 00:00:00-04:00,83.42343770092944,85.3381367664619,82.99263333278356,84.91690063476562,706700,0.0,0.0
2018-10-09 00:00:00-04:00,84.69671851704157,85.48174488053544,84.24676304577113,85.06050872802734,421000,0.0,0.0
2018-10-10 00:00:00-04:00,85.16582165800578,85.797675915642,83.57662508055364,83.63406372070312,634100,0.0,0.0
2018-10-11 00:00:00-04:00,83.43299560648498,83.48085869060829,80.00568325063954,80.0152587890625,884400,0.0,0.0
2018-10-12 00:00:00-04:00,80.76199877336063,81.03963098548296,78.78028573869125,80.39820861816406,809000,0.0,0.0
2018-10-15 00:00:00-04:00,80.21632385253906,81.04922063389583,79.98656199368119,80.21632385253906,628000,0.0,0.0
2018-10-16 00:00:00-04:00,80.62796735513318,81.14493690580777,79.72805658499634,81.12578582763672,1011400,0.0,0.0
2018-10-17 00:00:00-04:00,81.2215226929579,82.80115072410311,81.03005572724187,82.16930389404297,735400,0.0,0.0
2018-10-18 00:00:00-04:00,82.15015136106393,82.71499131672303,80.73327831025138,81.29811096191406,675400,0.0,0.0
2018-10-19 00:00:00-04:00,80.86732337173002,82.85861232940633,80.52267692505535,82.36078643798828,572200,0.0,0.0
2018-10-22 00:00:00-04:00,82.3703647407274,82.82988848236705,81.001354449429,81.04922485351562,522600,0.0,0.0
2018-10-23 00:00:00-04:00,79.97698267899145,81.02049018773316,79.31640914894552,80.56096649169922,616900,0.0,0.0
2018-10-24 00:00:00-04:00,80.18760307332002,80.25461725193344,77.27725946611285,77.47830200195312,723400,0.0,0.0
2018-10-25 00:00:00-04:00,78.71327769465391,80.38863933319108,76.913455945553,79.52702331542969,856400,0.0,0.0
2018-10-26 00:00:00-04:00,79.46000689773271,79.97697649378796,78.59839090430732,79.1632308959961,906000,0.0,0.0
2018-10-29 00:00:00-04:00,79.87168733925078,80.8577563810689,78.87604275512412,79.49832153320312,627600,0.0,0.0
2018-10-30 00:00:00-04:00,79.95783054930914,81.28855313262014,79.64191075142696,81.16409301757812,621700,0.0,0.0
2018-10-31 00:00:00-04:00,81.93955301594225,82.7245867405732,80.99177890781203,81.04922485351562,723700,0.0,0.0
2018-11-01 00:00:00-04:00,81.50873596321725,81.81508751149913,80.95347149945725,81.70020294189453,533400,0.0,0.0
2018-11-02 00:00:00-04:00,82.49478898886615,83.34682929766736,80.80985944786356,81.1162109375,475800,0.0,0.0
2018-11-05 00:00:00-05:00,81.23111042190877,82.27462526244072,81.23111042190877,82.20761108398438,403300,0.0,0.0
